/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//monoide-zeitpunkt-08-like_a_child-146-175.mp3,Like a child (EXCERPT),Monoide,[0.02644279],125.01311492919922,1935.071334695352
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//jacob_heringman_and_catherine_king-luis_milan_el_maestro-25-pavana_6-59-88.mp3,Pavana 6 (EXCERPT),Jacob Heringman and Catherine King,[0.0002527],111.28143310546875,1038.113219887135
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//tilopa-pictures_of_silence-06-roku-204-233.mp3,Roku (EXCERPT),Tilopa,[0.01156756],120.2113265991211,690.9423934573268
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//c_layne-the_sun_will_come_out_to_blind_you-10-everybodys_going_underground-146-175.mp3,Everybody\'s Going Underground (EXCERPT),C Layne,[0.01843],172.26560974121094,1173.259533093319
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//tilopa-out_of_the_blue-01-kyopianosus-0-29.mp3,Kyo-piano-sus (EXCERPT),Tilopa,[0.00164331],112.81526947021484,713.4667789916908
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//richard_savino-mertz__bardic_sounds-08-caprice-59-88.mp3,Caprice (EXCERPT),Richard Savino,[0.00159547],128.82550048828125,765.4170767256736
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//atomic_opera-alpha_and_oranges-01-rain_parade-146-175.mp3,Rain Parade (EXCERPT),Atomic Opera,[0.02033356],102.35865020751953,2005.2540237688886
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//rocket_city_riot-middle_age_suicide-03-no_end_in_sight-117-146.mp3,No End In Sight (EXCERPT),Rocket City Riot,[0.02773141],106.70095825195312,2162.375347252501
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//burning_babylon-knives_to_the_treble-05-mash_up_the_dj-30-59.mp3,Mash Up The DJ (EXCERPT),Burning Babylon,[0.02767626],106.27283477783203,2098.476137680166
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//ensemble_sreteniye-ancient_church_singing_of_byzantine_georgia_and_rus-10-thy_cross_do_we_adore_georgian_chant-0-29.mp3,Thy Cross do We Adore Georgian Chant (EXCERPT),Ensemble Sreteniye,[0.00806304],88.7011489868164,1337.3167191957446
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//shira_kammen-music_of_waters-02-downstream-291-320.mp3,Downstream (EXCERPT),Shira Kammen,[0.01221628],101.3647232055664,1108.2272370535547
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//les_filles_de_sainte_colombe-german_music_for_viols_and_harpsichord-05-suite_in_a_minor_sheidt-436-465.mp3,Suite in A minor (Sheidt) (EXCERPT),Les Filles de Sainte Colombe,[0.00083639],152.84129333496094,1806.8608841079815
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//the_seldon_plan-making_circles-08-eyes_closed-117-146.mp3,Eyes Closed (EXCERPT),The Seldon Plan,[0.0194237],144.04376220703125,1722.2570945398825
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//voices_of_music-an_evening_with_bach-09-prelude_in_g_major_bwv_1007-59-88.mp3,Prelude in G Major (BWV 1007) (EXCERPT),Voices of Music,[3.88363031e-05],95.33540344238281,492.48058188930275
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//lvx_nova-lvx_nova-07-a_lake-204-233.mp3,-A Lake- (EXCERPT),LVX Nova,[0.02485222],118.37447357177734,1340.6129707373586
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//american_bach_soloists-joseph_haydn__masses-05-credo__allegro_con_spirito-0-29.mp3,Credo - Allegro con spirito (EXCERPT),American Bach Soloists,[0.00208463],102.8908462524414,1208.0075180945025
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//ehren_starks-lines_build_walls-09-one_big_hope-30-59.mp3,One Big Hope (EXCERPT),Ehren Starks,[0.00022074],115.43610382080078,760.9190668095125
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//sherefe-opium-07-alf_leyla_wa_leyla-233-262.mp3,Alf Leyla Wa Leyla (EXCERPT),Sherefe,[0.01636416],129.46182250976562,1482.0084274911862
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//panacea-songs_and_dance_music_of_europe_east_and_west-11-zemer_atik-30-59.mp3,Zemer Atik (EXCERPT),Panacea,[0.04281463],131.57220458984375,1577.8744098264672
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//william_brooks-bitter_circus-06-a_different_state_of_mind-30-59.mp3,A Different State of Mind (EXCERPT),William Brooks,[0.02620256],124.9874267578125,1666.1521464253235
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//jeni_melia-the_lost_art_of_wooing-13-a_dream_john_dowland-59-88.mp3,A dream (John Dowland) (EXCERPT),Jeni Melia,[6.50584946e-05],147.71652221679688,782.6537254120315
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//skitzo-hellavator_musick-06-satans_grave-117-146.mp3,Satan\'s Grave (EXCERPT),Skitzo,[0.04947171],129.49134826660156,1940.0157120077733
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//jami_sieber-hidden_sky-02-out_of_the_mist-88-117.mp3,Out of the Mist (EXCERPT),Jami Sieber,[0.01388876],90.07366943359375,782.7567332727068
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//richard_savino-murcia__danza_y_diferencias-31-marionas-117-146.mp3,Marionas (EXCERPT),Richard Savino,[0.00036228],151.50950622558594,772.6619629265133
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//american_baroque-dances_and_suites_of_rameau_and_couperin-30-air_vif_de_lacdemoniens_suite_in_d_from_les_fetes_dhebe_rameau-30-59.mp3,Air vif de lacdemoniens Suite in D from Les Fetes D\'Hebe (Rameau) (EXCERPT),American Baroque,[0.00518509],117.7661361694336,1512.2927385297671
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//jag-four_strings-25-four_on_the_floor-30-59.mp3,Four On The Floor (EXCERPT),Jag,[0.00137726],95.89083099365234,1423.190939045507
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//emmas_mini-beat_generation_mad_trick-06-quiescence-88-117.mp3,Quiescence (EXCERPT),Emma\'s Mini,[0.01947641],98.33325958251953,1998.730192592777
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//dj_cary-eastern_grooves-03-om_asatoma_sad_gamayabeth_quist-204-233.mp3,Om Asatoma Sad Gamaya-Beth Quist (EXCERPT),DJ Cary,[0.01334048],94.84719848632812,1742.034603789568
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//magnatune-classical-29-leon_mccawley_schumann_from_davidsbundlertanze_op__6-30-59.mp3,Leon McCawley_ Schumann from Davidsbundlertanze Op. 6 (EXCERPT),Magnatune,[0.00232529],150.94630432128906,795.7700596713714
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//edward_martin-art_of_the_lute_in_renaissance_france-02-basse_dance_la_magdalena_recoupe__tourdion_attaingnant-30-59.mp3,Basse dance _La Magdalena_ -Recoupe - Tourdion (Attaingnant) (EXCERPT),Edward Martin,[0.0059609],123.07015991210938,740.2488227673066
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//kitka-wintersongs-06-otche_nash_russia_bulgaria-59-88.mp3,Otche Nash (Russia Bulgaria) (EXCERPT),Kitka,[0.00401323],102.22464752197266,1552.637483960983
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//william_brooks-blue_ribbon__the_best_of_william_brooks-08-justified-30-59.mp3,Justified (EXCERPT),William Brooks,[0.02443854],154.96563720703125,2042.062165983581
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//thursday_group-first_album-01-innocent_murmur-291-320.mp3,Innocent Murmur (EXCERPT),Thursday Group,[0.01653183],116.8927230834961,2527.812900975421
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//jag-pretty_girl_blues-11-jags_rag-88-117.mp3,Jag\'s Rag (EXCERPT),Jag,[0.00878021],129.39718627929688,1999.0392161748034
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//ehren_starks-lines_build_walls-07-run-117-146.mp3,Run (EXCERPT),Ehren Starks,[0.00646794],145.2432098388672,1082.166248302667
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//processor-insomnia-09-nibtal_7-233-262.mp3,Nibtal 7 (EXCERPT),Processor,[0.0897256],139.74847412109375,2030.4566136808141
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//zephyrus-angelus-04-ecce_maria_genuit_josquin_des_prez-59-88.mp3,Ecce Maria genuit (Josquin des Prez) (EXCERPT),Zephyrus,[0.00098803],117.83650207519531,1093.0507455807058
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//william_brooks-karma_dogs-12-still_around-30-59.mp3,Still Around (EXCERPT),William Brooks,[0.01788266],117.08074951171875,1884.0481077074483
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//jeff_wahl-guinevere-04-freedom-175-204.mp3,Freedom (EXCERPT),Jeff Wahl,[0.00140913],126.08617401123047,1128.8631451422023
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//strojovna_07-number_1-15-fajront-204-233.mp3,Fajront (EXCERPT),Strojovna 07,[0.07067603],140.02757263183594,2206.7717352036175
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//william_brooks-bitter_circus-11-shes_right_over_there-59-88.mp3,She\'s Right Over There (EXCERPT),William Brooks,[0.03543397],120.69578552246094,2137.2414292476924
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//pain_factor-8_seconds-10-siss-146-175.mp3,Siss (EXCERPT),Pain Factor,[0.01058925],108.90682220458984,2155.5081565408045
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//spinecar-autophile-09-muse-233-262.mp3,Muse (EXCERPT),Spinecar,[0.00452717],118.16313934326172,1478.8151838102474
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//mijo-fata_morgana-10-noon_moon-146-175.mp3,Noon Moon (EXCERPT),Mijo,[0.0224264],145.70632934570312,1539.521149701643
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//sherefe-opium-01-gole_sangam-175-204.mp3,Gole Sangam (EXCERPT),Sherefe,[0.0152528],147.0337677001953,1285.538101229554
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//jag-four_strings-11-sometimes_im_lonely_rag-88-117.mp3,Sometimes I\'m Lonely Rag (EXCERPT),Jag,[0.00292251],107.56392669677734,1811.530573791935
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//ensemble_vermillian-stolen_jewels-19-buxtehude_sonata_iii_op__i_allegro-59-88.mp3,Buxtehude Sonata III Op. I Allegro (EXCERPT),Ensemble Vermillian,[0.00195335],151.80467224121094,917.6970307575399
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//yongen-moonrise-09-beauty-233-262.mp3,Beauty (EXCERPT),Yongen,[0.0130989],166.44387817382812,1770.2930935681984
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//kyiv_chamber_choir-praise_the_lord-07-chesnokovlets_please_joseph-175-204.mp3,Chesnokov-Let\'s Please Joseph (EXCERPT),Kyiv Chamber Choir,[0.00349789],121.15365600585938,1529.5293872161249
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//mrdc-timecode-07-leaving-30-59.mp3,Leaving (EXCERPT),MRDC,[0.01796683],80.0871810913086,1756.3870323770134
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//vito_paternoster-inzaffirio-11-preludio_vi-88-117.mp3,Preludio VI (EXCERPT),Vito Paternoster,[0.00026524],146.30413818359375,1219.0980310938921
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//soulprint-in_spite_of_it_all-03-fua-175-204.mp3,FUA (EXCERPT),SoulPrint,[0.01739939],132.90426635742188,1972.9782274239158
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//apa_ya-apa_ya-08-bahai_don_mi-59-88.mp3,Ba\'hai don mi (EXCERPT),Apa Ya,[0.01336148],83.7286605834961,1484.0685847046952
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//spinecar-up_from_the_mud-03-smoke-30-59.mp3,Smoke (EXCERPT),Spinecar,[0.01108935],122.5118179321289,1700.3850921231297
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//heavy_mellow-horizons-08-laurel_river_trail-117-146.mp3,Laurel River Trail (EXCERPT),Heavy Mellow,[0.00254713],78.5624771118164,1949.0804037472126
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//magnatune_com-magnatune_at_the_cc_salon-02-inner_2_curl-175-204.mp3,Inner 2 (Curl) (EXCERPT),Magnatune.com,[0.00856611],67.97574615478516,2258.5503531698077
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//shira_kammen-the_almanac-18-quant_je_vois_yver_retorner-88-117.mp3,Quant Je Vois Yver Retorner (EXCERPT),Shira Kammen,[0.01767343],107.8407211303711,1674.6331269542684
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//drevo-christian_themes_in_ukrainian_folk_songs-16-what_wonderful_news-146-175.mp3,What wonderful news (EXCERPT),Drevo,[0.01015995],120.11305236816406,1413.8172237240417
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//skitzo-heavy_shit-10-catacombs-175-204.mp3,Catacombs (EXCERPT),Skitzo,[0.03539481],123.07598114013672,2145.6194019159616
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//tim_rayborn-ashek-08-ravan-755-784.mp3,Ravan (EXCERPT),Tim Rayborn,[0.00410046],164.7893524169922,1884.9751784535272
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//janine_johnson-j_s__bach_works_for_harpsichord-06-english_suite_no_2_in_a_minor__bourree-233-262.mp3,English Suite No 2 in A Minor - Bourree (EXCERPT),Janine Johnson,[0.00272562],100.60961151123047,1991.1419468563527
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//curl-ultimate_station-08-ultimate_station-59-88.mp3,Ultimate Station (EXCERPT),Curl,[0.0083967],109.92939758300781,1530.6624736835547
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//shira_kammen-the_almanac-19-the_almanac-88-117.mp3,The Almanac (EXCERPT),Shira Kammen,[0.01568208],122.85747528076172,1539.9331811443449
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//stellamara-star_of_the_sea-02-kereshme-59-88.mp3,Kereshme (EXCERPT),Stellamara,[0.00477955],135.6818389892578,1144.3486601970774
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//williamson-a_few_things_to_hear_before_we_all_blow_up-10-a-117-146.mp3,A- (EXCERPT),Williamson,[0.01109129],110.14825439453125,1299.718850049207
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//richard_savino-murcia__danza_y_diferencias-13-rondo-30-59.mp3,Rondo (EXCERPT),Richard Savino,[0.0004621],99.78034973144531,756.4897288004684
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//ambient_teknology-phoenix-02-goa_life-146-175.mp3,Goa Life (EXCERPT),Ambient Teknology,[0.03713657],90.01798248291016,1420.2380470394778
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//american_bach_soloists-joseph_haydn__masses-07-et_resurrexit__vivace-117-146.mp3,Et resurrexit - Vivace (EXCERPT),American Bach Soloists,[0.0009107],120.881591796875,1320.5607738592055
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//paul_avgerinos-words_touch-08-in_my_heart-59-88.mp3,In My Heart (EXCERPT),Paul Avgerinos,[0.00160683],184.57037353515625,802.4312346617169
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//jeni_melia-the_last_of_old_england-03-to_ask_for_all_thy_love_dowland-30-59.mp3,To ask for all thy love (Dowland) (EXCERPT),Jeni Melia,[0.0024761],90.82575988769531,974.2140103148007
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//norine_braun-modern_anguish-06-states_of_faith-146-175.mp3,States of Faith (EXCERPT),Norine Braun,[0.03015981],112.29532623291016,1968.789241089781
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//janine_johnson-german_keyboard_masters-18-von_der_geburt_christi_pachelbel-88-117.mp3,Von der Geburt Christi (Pachelbel) (EXCERPT),Janine Johnson,[0.00112922],172.26559448242188,1794.8776363160714
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//rapoon-cidar-06-noord-88-117.mp3,Noord (EXCERPT),Rapoon,[0.00937748],74.13167572021484,969.0636172810284
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//four_stones-chronic_dreams-10-brilliant_day_eine_kleine_mix-175-204.mp3,Brilliant Day (Eine Kleine Mix) (EXCERPT),Four Stones,[0.00653695],117.58200073242188,1340.200939294657
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//the_wretch-cyst-05-frozen_love-0-29.mp3,Frozen Love (EXCERPT),The Wretch,[0.02269712],90.30845642089844,1450.556694031617
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//paul_avgerinos-balancing_spheres-02-night_illusions__balancing_spheres-88-117.mp3,Night Illusions - Balancing Spheres (EXCERPT),Paul Avgerinos,[0.00297651],120.20653533935547,948.4620451459394
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//falling_you-human-04-bring_down_the_stars-175-204.mp3,Bring Down The Stars (EXCERPT),Falling You,[0.00708633],93.21302795410156,1037.7355243979919
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//domased-slowdown-08-ice_flowers_on_the_window-436-465.mp3,Ice Flowers On The Window (EXCERPT),Domased,[0.00904473],119.8991470336914,1761.1940658752007
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//o_fickle_fortune-a_celebration_of_robert_burns-07-the_birks_of_aberfeldy-0-29.mp3,The Birks of Aberfeldy (EXCERPT),O Fickle Fortune,[0.00041311],164.1038360595703,1583.3338264422657
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//kenji_williams-faces_of_epiphany-08-free_energy-204-233.mp3,Free Energy (EXCERPT),Kenji Williams,[0.0314819],142.5598602294922,1536.1905622064703
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//american_bach_soloists-joseph_haydn__masses-08-sanctus__adagio__allegro-59-88.mp3,Sanctus - Adagio - Allegro (EXCERPT),American Bach Soloists,[0.00083265],129.7307891845703,1324.9214399611326
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//monks_and_choirs_of_kiev_pechersk_lavra-chants_of_the_russian_orthodox_church-09-o_gladsome_radiance-59-88.mp3,O gladsome Radiance (EXCERPT),Monks and Choirs of Kiev Pechersk Lavra,[0.01495908],122.38548278808594,1509.5458622450885
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//rocket_city_riot-middle_age_suicide-09-die_today-88-117.mp3,Die Today (EXCERPT),Rocket City Riot,[0.03843061],110.61768341064453,1976.0341272906207
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-204-233.mp3,3 Almaines (Holborne) (EXCERPT),New York Consort of Viols,[0.00369203],143.21990966796875,1407.3620644550472
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//mr_gelatine-electroluv-08-they_are_coming-117-146.mp3,they are coming (EXCERPT),Mr Gelatine,[0.01552248],123.78829956054688,1170.8216803906669
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//ralph_meulenbroeks-gambomania-17-now_i_come_tobias_hume-30-59.mp3,-Now I come (Tobias Hume)- (EXCERPT),Ralph Meulenbroeks,[0.00472652],128.64833068847656,1235.3046011734955
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//shira_kammen-the_castle_of_the_holly_king-06-cutty_wren-59-88.mp3,Cutty Wren (EXCERPT),Shira Kammen,[0.01195654],178.20582580566406,1529.0143479127478
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//strojovna_07-number_1-14-blaudisco-59-88.mp3,Blaudisco (EXCERPT),Strojovna 07,[0.06327209],72.02242279052734,1423.0879311848316
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//norine_braun-now_and_zen-13-lucky_13-88-117.mp3,Lucky 13 (EXCERPT),Norine Braun,[0.01233312],111.91193389892578,1467.9306865322087
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//williamson-a_few_things_to_hear_before_we_all_blow_up-06-were_all_boned-30-59.mp3,we\'re all boned (EXCERPT),Williamson,[0.02320811],178.2058563232422,2077.5312060094925
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//strojovna_07-switch_on__switch_off-14-sonos-30-59.mp3,Sonos (EXCERPT),Strojovna 07,[0.01638435],112.36016845703125,729.0896378607999
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//falik-streaks_and_strokes-10-the_last_faery-204-233.mp3,The last faery (EXCERPT),Falik,[0.00690109],89.69596099853516,2126.4256038767703
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//john_jackson-bad_things_happen_all_the_time-03-mission_creep-0-29.mp3,Mission Creep (EXCERPT),John Jackson,[0.00224437],139.93325805664062,1731.1157705579708
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//paul_avgerinos-phos_hilaron-01-humbly_i_adore_thee-291-320.mp3,Humbly I Adore Thee (EXCERPT),Paul Avgerinos,[0.00782154],122.0063247680664,1192.5563389931858
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//ehren_starks-the_depths_of_a_year-02-sunset_in_pensacola-30-59.mp3,Sunset in Pensacola (EXCERPT),Ehren Starks,[0.00024411],91.20356750488281,754.6012513547519
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//jesse_manno-sea_spirits-09-tidur-0-29.mp3,Tidur (EXCERPT),Jesse Manno,[0.00297171],74.34858703613281,1160.280542648213
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//tilopa-kyotaku_live-01-yamato_choshi-30-59.mp3,Yamato Choshi (EXCERPT),Tilopa,[0.01042265],111.19014739990234,729.1239738143585
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//shira_kammen-music_of_waters-13-frog_drums-88-117.mp3,Frog Drums (EXCERPT),Shira Kammen,[0.00793476],162.15020751953125,1122.4079858732077
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//lvx_nova-lvx_nova-06-ghanian_sunset-262-291.mp3,-Ghanian Sunset- (EXCERPT),LVX Nova,[0.00482334],96.66985321044922,2353.1115692698663
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//mandrake_root-the_seventh_mirror-05-build_o_burn-146-175.mp3,Build o Burn (EXCERPT),Mandrake Root,[0.01174718],112.38520812988281,2115.712786366524
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//stargarden-step_off-02-bounced-204-233.mp3,Bounced (EXCERPT),Stargarden,[0.0227883],137.74024963378906,1795.5986913407994
